actual_anomaly_tpr,all_background_fpr_at_target_tpr,anomaly_score_mean,class,defect_background_fpr_at_target_tpr,defect_background_score_mean,defect_pixel_auc_sampled,normal_image_fpr_at_target_tpr,normal_score_mean,normal_score_p95,sampled_anomaly_pixels,sampled_defect_background_pixels,sampled_normal_pixels,target_anomaly_tpr,threshold_at_target_tpr,variant
0.8000011393349702,0.052693684895833336,0.29589858651161194,capsule,0.060726060779816515,0.008534225635230541,0.9624807018848973,0.014627207880434782,0.0032631480135023594,0.011660921433940527,175541,446464,94208,0.8,0.01981114223599434,cosine
0.800006836009821,0.05908388080018939,0.6995348334312439,capsule,0.06583733514908256,0.6873415112495422,0.9606723183272757,0.027078379755434784,0.6868264675140381,0.6926759272813797,175541,446464,94208,0.8,0.6933286190032959,cone_normal_only
0.8000011393349702,0.046845407196969696,0.4922713339328766,capsule,0.05326745269495413,0.4784429669380188,0.9655407010326439,0.016410495923913044,0.4778706133365631,0.4837250351905823,175541,446464,94208,0.8,0.48507019877433777,cone_contrastive
0.8000005420700571,0.08516268244760479,0.2955046594142914,pill,0.08871481604609929,0.014561311341822147,0.9537730197487719,0.06589918870192307,0.009948109276592731,0.0440282616764307,368956,577536,106496,0.8,0.0325406976044178,cosine
0.8000005420700571,0.06118719592065868,0.699859619140625,pill,0.06413972462322695,0.688597559928894,0.9568087996109255,0.045175405649038464,0.6882386803627014,0.6944033652544022,368956,577536,106496,0.8,0.6946924328804016,cone_normal_only
0.8000005420700571,0.06356720153443114,0.49215662479400635,pill,0.0667092614140071,0.47946491837501526,0.9582876678993822,0.04652756911057692,0.47905445098876953,0.48562584817409515,368956,577536,106496,0.8,0.4858541190624237,cone_contrastive
0.7999971781902323,0.49824462890625,0.20411181449890137,transistor,0.51607666015625,0.01842210441827774,0.7554982984421652,0.48635660807291664,0.011960567906498909,0.0384785387665033,141753,163840,245760,0.8,0.004868192505091427,cosine
0.7999971781902323,0.49515625,0.6957471370697021,transistor,0.505078125,0.6894649863243103,0.7576853525957054,0.48854166666666665,0.6891840696334839,0.694417017698288,141753,163840,245760,0.8,0.6887583136558533,cone_normal_only
0.7999971781902323,0.4996826171875,0.48807552456855774,transistor,0.50509033203125,0.4809754490852356,0.7559780090090479,0.49607747395833335,0.48073065280914307,0.4866066038608551,141753,163840,245760,0.8,0.48022268414497377,cone_contrastive
0.8000018684429331,0.038055419921875,0.23566117882728577,screw,0.046376460740546216,0.008439279161393642,0.9710844459765131,0.013904106326219513,0.0047868094407022,0.02327347593382001,107041,487424,167936,0.8,0.04224533960223198,cosine
0.8000018684429331,0.0608489990234375,0.6994756460189819,screw,0.06857274159663866,0.6863531470298767,0.963390951373155,0.038431307164634144,0.6861104369163513,0.6951968669891357,107041,487424,167936,0.8,0.69571453332901,cone_normal_only
0.8000018684429331,0.04789581298828125,0.4915391206741333,screw,0.05631442029936975,0.4773447513580322,0.9675515515834333,0.023461318597560975,0.47706228494644165,0.4859083965420723,107041,487424,167936,0.8,0.48715442419052124,cone_contrastive
0.7999974670398561,0.05771600632440476,0.1882667988538742,toothbrush,0.07071940104166667,0.017127832397818565,0.9500519730934989,0.02520751953125,0.009469333104789257,0.03227063752710818,78959,122880,49152,0.8,0.05446042716503143,cosine
0.7999974670398561,0.060581752232142856,0.6993856430053711,toothbrush,0.07767740885416667,0.6891319751739502,0.9502195518133983,0.017842610677083332,0.6885526776313782,0.6951174050569534,78959,122880,49152,0.8,0.696525228023529,cone_normal_only
0.7999974670398561,0.05467006138392857,0.4913761019706726,toothbrush,0.07019856770833334,0.48016422986984253,0.9517965710880707,0.015848795572916668,0.47956764698028564,0.48629770874977113,78959,122880,49152,0.8,0.488043212890625,cone_contrastive
